Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
17756_CGN6554_A_Tdur_R14_1of1_Solo_1x1_d_c,17756,Nikon,1x,1,CGN6554,A,R14,Top,1of1,Solo,Tdur,d,c
17757_CGN6554_A_Tdur_R14_1of1_Solo_1x1_l_c,17757,Nikon,1x,1,CGN6554,A,R14,Top,1of1,Solo,Tdur,l,c
17758_CGN6554_A_Tdur_R15_1of1_Solo_1x1_d_c,17758,Nikon,1x,1,CGN6554,A,R15,Top,1of1,Solo,Tdur,d,c
17759_CGN6554_A_Tdur_R15_1of1_Solo_1x1_l_c,17759,Nikon,1x,1,CGN6554,A,R15,Top,1of1,Solo,Tdur,l,c
17760_CGN6554_B_Tdur_R1_1of3_External_1x1_d_c,17760,Nikon,1x,1,CGN6554,B,R1,Base,1of3,External,Tdur,d,c
17761_CGN6554_B_Tdur_R1_1of3_External_1x1_l_c,17761,Nikon,1x,1,CGN6554,B,R1,Base,1of3,External,Tdur,l,c
17762_CGN6554_B_Tdur_R2_2of3_Internal_1x1_d_c,17762,Nikon,1x,1,CGN6554,B,R2,Base,2of3,Internal,Tdur,d,c
17582_CGN6554_B_Tdur_R2_2of3_Internal_1x1_l_c,17582,Nikon,1x,1,CGN6554,B,R2,Base,2of3,Internal,Tdur,l,c
17800_CGN6554_B_Tdur_R2_3of3_External_1x1_d_c,17800,Nikon,1x,1,CGN6554,B,R2,Base,3of3,External,Tdur,d,c
17801_CGN6554_B_Tdur_R2_3of3_External_1x1_l_c,17801,Nikon,1x,1,CGN6554,B,R2,Base,3of3,External,Tdur,l,c
17802_CGN6554_B_Tdur_R8_1of3_External_1x1_d_c,17802,Nikon,1x,1,CGN6554,B,R8,Mid,1of3,External,Tdur,d,c
17803_CGN6554_B_Tdur_R8_1of3_External_1x1_l_c,17803,Nikon,1x,1,CGN6554,B,R8,Mid,1of3,External,Tdur,l,c
17804_CGN6554_B_Tdur_R8_2of3_Internal_1x1_d_c,17804,Nikon,1x,1,CGN6554,B,R8,Mid,2of3,Internal,Tdur,d,c
17805_CGN6554_B_Tdur_R8_2of3_Internal_1x1_l_c,17805,Nikon,1x,1,CGN6554,B,R8,Mid,2of3,Internal,Tdur,l,c
17806_CGN6554_B_Tdur_R8_3of3_External_1x1_d_c,17806,Nikon,1x,1,CGN6554,B,R8,Mid,3of3,External,Tdur,d,c
17807_CGN6554_B_Tdur_R8_3of3_External_1x1_l_c,17807,Nikon,1x,1,CGN6554,B,R8,Mid,3of3,External,Tdur,l,c
17808_CGN6554_B_Tdur_R14_1of2_External_1x1_d_c,17808,Nikon,1x,1,CGN6554,B,R14,Top,1of2,External,Tdur,d,c
17809_CGN6554_B_Tdur_R14_1of2_External_1x1_l_c,17809,Nikon,1x,1,CGN6554,B,R14,Top,1of2,External,Tdur,l,c
17810_CGN6554_B_Tdur_R14_2of2_External_1x1_d_c,17810,Nikon,1x,1,CGN6554,B,R14,Top,2of2,External,Tdur,d,c
17811_CGN6554_B_Tdur_R14_2of2_External_1x1_l_c,17811,Nikon,1x,1,CGN6554,B,R14,Top,2of2,External,Tdur,l,c
17812_CGN6554_B_Tdur_R15_3of3_External_1x1_d_c,17812,Nikon,1x,1,CGN6554,B,R15,Top,3of3,External,Tdur,d,c
17813_CGN6554_B_Tdur_R15_3of3_External_1x1_l_c,17813,Nikon,1x,1,CGN6554,B,R15,Top,3of3,External,Tdur,l,c
17814_CGN6554_C_Tdur_R1_1of2_External_1x1_d_c,17814,Nikon,1x,1,CGN6554,C,R1,Base,1of2,External,Tdur,d,c
17815_CGN6554_C_Tdur_R1_1of2_External_1x1_l_c,17815,Nikon,1x,1,CGN6554,C,R1,Base,1of2,External,Tdur,l,c
17816_CGN6554_C_Tdur_R1_2of2_External_1x1_d_c,17816,Nikon,1x,1,CGN6554,C,R1,Base,2of2,External,Tdur,d,c
17817_CGN6554_C_Tdur_R1_2of2_External_1x1_l_c,17817,Nikon,1x,1,CGN6554,C,R1,Base,2of2,External,Tdur,l,c
17818_CGN6554_C_Tdur_R2_1of2_External_1x1_d_c,17818,Nikon,1x,1,CGN6554,C,R2,Base,1of2,External,Tdur,d,c
17819_CGN6554_C_Tdur_R2_1of2_External_1x1_l_c,17819,Nikon,1x,1,CGN6554,C,R2,Base,1of2,External,Tdur,l,c
17820_CGN6554_C_Tdur_R8_1of3_External_1x1_d_c,17820,Nikon,1x,1,CGN6554,C,R8,Mid,1of3,External,Tdur,d,c
17821_CGN6554_C_Tdur_R8_1of3_External_1x1_l_c,17821,Nikon,1x,1,CGN6554,C,R8,Mid,1of3,External,Tdur,l,c
17822_CGN6554_C_Tdur_R8_2of3_Internal_1x1_d_c,17822,Nikon,1x,1,CGN6554,C,R8,Mid,2of3,Internal,Tdur,d,c
17823_CGN6554_C_Tdur_R8_2of3_Internal_1x1_l_c,17823,Nikon,1x,1,CGN6554,C,R8,Mid,2of3,Internal,Tdur,l,c
17824_CGN6554_C_Tdur_R8_3of3_External_1x1_d_c,17824,Nikon,1x,1,CGN6554,C,R8,Mid,3of3,External,Tdur,d,c
17825_CGN6554_C_Tdur_R8_3of3_External_1x1_l_c,17825,Nikon,1x,1,CGN6554,C,R8,Mid,3of3,External,Tdur,l,c
17826_CGN6554_C_Tdur_R12_1of2_External_1x1_d_c,17826,Nikon,1x,1,CGN6554,C,R12,Top,1of2,External,Tdur,d,c
17827_CGN6554_C_Tdur_R12_1of2_External_1x1_l_c,17827,Nikon,1x,1,CGN6554,C,R12,Top,1of2,External,Tdur,l,c
17828_CGN6554_C_Tdur_R13_1of2_External_1x1_d_c,17828,Nikon,1x,1,CGN6554,C,R13,Top,1of2,External,Tdur,d,c
17829_CGN6554_C_Tdur_R13_1of2_External_1x1_l_c,17829,Nikon,1x,1,CGN6554,C,R13,Top,1of2,External,Tdur,l,c
17830_CGN6554_C_Tdur_R13_2of2_External_1x1_d_c,17830,Nikon,1x,1,CGN6554,C,R13,Top,2of2,External,Tdur,d,c
17831_CGN6554_C_Tdur_R13_2of2_External_1x1_l_c,17831,Nikon,1x,1,CGN6554,C,R13,Top,2of2,External,Tdur,l,c
1813_High09_B_R1_1of1_Taes_1x1_d_c,1813,Nikon,1x,1,High09,B,R1,Base,1of1,Solo,Taes,d,c
1814_High09_B_R1_1of1_Taes_1x1_l_c,1814,Nikon,1x,1,High09,B,R1,Base,1of1,Solo,Taes,l,c
1816_High09_B_R2_1of3_Taes_1x1_d_c,1816,Nikon,1x,1,High09,B,R2,Base,1of3,External,Taes,d,c
1817_High09_B_R2_1of3_Taes_1x1_l_c,1817,Nikon,1x,1,High09,B,R2,Base,1of3,External,Taes,l,c
1819_High09_B_R2_2of3_Taes_1x1_d_c,1819,Nikon,1x,1,High09,B,R2,Base,2of3,Internal,Taes,d,c
1820_High09_B_R2_2of3_Taes_1x1_l_c,1820,Nikon,1x,1,High09,B,R2,Base,2of3,Internal,Taes,l,c
1822_High09_B_R6_3of3_Taes_1x1_d_c,1822,Nikon,1x,1,High09,B,R6,Mid,3of3,External,Taes,d,c
1823_High09_B_R6_3of3_Taes_1x1_l_c,1823,Nikon,1x,1,High09,B,R6,Mid,3of3,External,Taes,l,c
1825_High09_B_R7_1of3_Taes_1x1_d_c,1825,Nikon,1x,1,High09,B,R7,Mid,1of3,External,Taes,d,c
