Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1856_High09_C_R8_3of3_Taes_1x1_l_c,1856,Nikon,1x,1,High09,C,R8,Mid,3of3,External,Taes,l,c
1857_High09_C_R8_3of3_Taes_1x1_p_c,1857,Nikon,1x,1,High09,C,R8,Mid,3of3,External,Taes,p,c
1858_High09_C_R14_2of2_Taes_1x1_d_c,1858,Nikon,1x,1,High09,C,R14,Top,2of2,External,Taes,d,c
1859_High09_C_R14_2of2_Taes_1x1_l_c,1859,Nikon,1x,1,High09,C,R14,Top,2of2,External,Taes,l,c
1860_High09_C_R14_2of2_Taes_1x1_p_c,1860,Nikon,1x,1,High09,C,R14,Top,2of2,External,Taes,p,c
1861_High09_C_R15_1of1_Taes_1x1_d_c,1861,Nikon,1x,1,High09,C,R15,Top,1of1,Solo,Taes,d,c
1862_High09_C_R15_1of1_Taes_1x1_l_c,1862,Nikon,1x,1,High09,C,R15,Top,1of1,Solo,Taes,l,c
1863_High09_C_R15_1of1_Taes_1x1_p_c,1863,Nikon,1x,1,High09,C,R15,Top,1of1,Solo,Taes,p,c
1864_High09_C_R16_1of1_Taes_1x1_d_c,1864,Nikon,1x,1,High09,C,R16,Top,1of1,Solo,Taes,d,c
1865_High09_C_R16_1of1_Taes_1x1_l_c,1865,Nikon,1x,1,High09,C,R16,Top,1of1,Solo,Taes,l,c
1866_High09_C_R16_1of1_Taes_1x1_p_c,1866,Nikon,1x,1,High09,C,R16,Top,1of1,Solo,Taes,p,c
2191_190157_A_R1_1of4_Tturg_1x1_d_c,2191,Nikon,1x,1,190157,A,R1,Base,1of4,External,Tturg,d,c
2192_190157_A_R1_1of4_Tturg_1x1_l_c,2192,Nikon,1x,1,190157,A,R1,Base,1of4,External,Tturg,l,c
2193_190157_A_R1_1of4_Tturg_1x1_p_c,2193,Nikon,1x,1,190157,A,R1,Base,1of4,External,Tturg,p,c
2194_190157_A_R1_2of4_Tturg_1x1_d_c,2194,Nikon,1x,1,190157,A,R1,Base,2of4,Internal,Tturg,d,c
2195_190157_A_R1_2of4_Tturg_1x1_l_c,2195,Nikon,1x,1,190157,A,R1,Base,2of4,Internal,Tturg,l,c
2196_190157_A_R1_2of4_Tturg_1x1_p_c,2196,Nikon,1x,1,190157,A,R1,Base,2of4,Internal,Tturg,p,c
2197_190157_A_R1_3of4_Tturg_1x1_d_c,2197,Nikon,1x,1,190157,A,R1,Base,3of4,Internal,Tturg,d,c
2198_190157_A_R1_3of4_Tturg_1x1_l_c,2198,Nikon,1x,1,190157,A,R1,Base,3of4,Internal,Tturg,l,c
2199_190157_A_R1_3of4_Tturg_1x1_p_c,2199,Nikon,1x,1,190157,A,R1,Base,3of4,Internal,Tturg,p,c
2200_190157_A_R11_1of4_Tturg_1x1_d_c,2200,Nikon,1x,1,190157,A,R11,Mid,1of4,External,Tturg,d,c
2201_190157_A_R11_1of4_Tturg_1x1_l_c,2201,Nikon,1x,1,190157,A,R11,Mid,1of4,External,Tturg,l,c
2202_190157_A_R11_1of4_Tturg_1x1_p_c,2202,Nikon,1x,1,190157,A,R11,Mid,1of4,External,Tturg,p,c
2203_190157_A_R11_2of4_Tturg_1x1_d_c,2203,Nikon,1x,1,190157,A,R11,Mid,2of4,Internal,Tturg,d,c
