Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
14069_Houghton_FT_07225__S2_1x1_l,14069,Nikon,1x,1,Houghton,Houghton,7225,7225,,S2,,l,
14070_Houghton_FT_07225__S3_1x1_d,14070,Nikon,1x,1,Houghton,Houghton,7225,7225,,S3,,d,
14071_Houghton_FT_07225__S3_1x1_l,14071,Nikon,1x,1,Houghton,Houghton,7225,7225,,S3,,l,
14072_Houghton_FT_07225__S4_1x1_d,14072,Nikon,1x,1,Houghton,Houghton,7225,7225,,S4,,d,
14073_Houghton_FT_07225__S4_1x1_l,14073,Nikon,1x,1,Houghton,Houghton,7225,7225,,S4,,l,
14074_Houghton_FT_07225__S5_1x1_d,14074,Nikon,1x,1,Houghton,Houghton,7225,7225,,S5,,d,
14075_Houghton_FT_07225__S5_1x1_l,14075,Nikon,1x,1,Houghton,Houghton,7225,7225,,S5,,l,
14076_Houghton_FT_07225__S6_1x1_d,14076,Nikon,1x,1,Houghton,Houghton,7225,7225,,S6,,d,
14077_Houghton_FT_07225__S6_1x1_l,14077,Nikon,1x,1,Houghton,Houghton,7225,7225,,S6,,l,
14078_Houghton_FT_07225__S7_1x1_d,14078,Nikon,1x,1,Houghton,Houghton,7225,7225,,S7,,d,
14079_Houghton_FT_07225__S7_1x1_l,14079,Nikon,1x,1,Houghton,Houghton,7225,7225,,S7,,l,
14080_Houghton_FT_07225__S8_1x1_d,14080,Nikon,1x,1,Houghton,Houghton,7225,7225,,S8,,d,
14081_Houghton_FT_07225__S8_1x1_l,14081,Nikon,1x,1,Houghton,Houghton,7225,7225,,S8,,l,
14082_Houghton_FT_07225__S9_1x1_d,14082,Nikon,1x,1,Houghton,Houghton,7225,7225,,S9,,d,
14083_Houghton_FT_07225__S9_1x1_l,14083,Nikon,1x,1,Houghton,Houghton,7225,7225,,S9,,l,
14084_Houghton_FT_07225__S10_1x1_d,14084,Nikon,1x,1,Houghton,Houghton,7225,7225,,S10,,d,
14085_Houghton_FT_07225__S10_1x1_l,14085,Nikon,1x,1,Houghton,Houghton,7225,7225,,S10,,l,
14086_Houghton_FT_07225__S11_1x1_d,14086,Nikon,1x,1,Houghton,Houghton,7225,7225,,S11,,d,
14087_Houghton_FT_07225__S11_1x1_l,14087,Nikon,1x,1,Houghton,Houghton,7225,7225,,S11,,l,
14088_Houghton_FT_07225__S12_1x1_d,14088,Nikon,1x,1,Houghton,Houghton,7225,7225,,S12,,d,
14089_Houghton_FT_07225__S12_1x1_l,14089,Nikon,1x,1,Houghton,Houghton,7225,7225,,S12,,l,
14090_Houghton_FT_07225__S13_1x1_d,14090,Nikon,1x,1,Houghton,Houghton,7225,7225,,S13,,d,
14091_Houghton_FT_07225__S13_1x1_l,14091,Nikon,1x,1,Houghton,Houghton,7225,7225,,S13,,l,
14092_Houghton_FT_07225__S14_1x1_d,14092,Nikon,1x,1,Houghton,Houghton,7225,7225,,S14,,d,
14093_Houghton_FT_07225__S14_1x1_l,14093,Nikon,1x,1,Houghton,Houghton,7225,7225,,S14,,l,
14094_Houghton_FT_07225__S15_1x1_d,14094,Nikon,1x,1,Houghton,Houghton,7225,7225,,S15,,d,
14095_Houghton_FT_07225__S15_1x1_l,14095,Nikon,1x,1,Houghton,Houghton,7225,7225,,S15,,l,
14098_Houghton_FT_07225__S17_1x1_d,14098,Nikon,1x,1,Houghton,Houghton,7225,7225,,S17,,d,
14099_Houghton_FT_07225__S17_1x1_l,14099,Nikon,1x,1,Houghton,Houghton,7225,7225,,S17,,l,
14100_Houghton_FT_07225__S18_1x1_d,14100,Nikon,1x,1,Houghton,Houghton,7225,7225,,S18,,d,RYE FORM'
14101_Houghton_FT_07225__S18_1x1_l,14101,Nikon,1x,1,Houghton,Houghton,7225,7225,,S18,,l,RYE FORM'
14102_Houghton_FT_07225__S19_1x1_d,14102,Nikon,1x,1,Houghton,Houghton,7225,7225,,S19,,d,RYE FORM'
14103_Houghton_FT_07225__S19_1x1_l,14103,Nikon,1x,1,Houghton,Houghton,7225,7225,,S19,,l,RYE FORM'
14104_Houghton_FT_07225__S20_1x1_d,14104,Nikon,1x,1,Houghton,Houghton,7225,7225,,S20,,d,RYE FORM'
14105_Houghton_FT_07225__S20_1x1_l,14105,Nikon,1x,1,Houghton,Houghton,7225,7225,,S20,,l,RYE FORM'
14106_Houghton_FT_07225__S21_1x1_d,14106,Nikon,1x,1,Houghton,Houghton,7225,7225,,S21,,d,RYE FORM'
14107_Houghton_FT_07225__S21_1x1_l,14107,Nikon,1x,1,Houghton,Houghton,7225,7225,,S21,,l,RYE FORM'
14108_Houghton_FT_07225__S22_1x1_d,14108,Nikon,1x,1,Houghton,Houghton,7225,7225,,S22,,d,RYE FORM'
14109_Houghton_FT_07225__S22_1x1_l,14109,Nikon,1x,1,Houghton,Houghton,7225,7225,,S22,,l,RYE FORM'
14110_Houghton_FT_07225__S23_1x1_d,14110,Nikon,1x,1,Houghton,Houghton,7225,7225,,S23,,d,RYE FORM'
14111_Houghton_FT_07225__S23_1x1_l,14111,Nikon,1x,1,Houghton,Houghton,7225,7225,,S23,,l,RYE FORM'
14112_Houghton_FT_07225__S24_1x1_d,14112,Nikon,1x,1,Houghton,Houghton,7225,7225,,S24,,d,RYE FORM'
14113_Houghton_FT_07225__S24_1x1_l,14113,Nikon,1x,1,Houghton,Houghton,7225,7225,,S24,,l,RYE FORM'
14114_Houghton_FT_07225__S25_1x1_d,14114,Nikon,1x,1,Houghton,Houghton,7225,7225,,S25,,d,RYE FORM'
14115_Houghton_FT_07225__S25_1x1_l,14115,Nikon,1x,1,Houghton,Houghton,7225,7225,,S25,,l,RYE FORM'
