Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1078_HIGH09_C_R16_1of1_Taes_1x1_d_uc,1078,Nikon,1x,1,HIGH09,C,R16,Top,1of1,Solo,Taes,d,uc
1079_HIGH09_C_R16_1of1_Taes_1x1_l_uc,1079,Nikon,1x,1,HIGH09,C,R16,Top,1of1,Solo,Taes,l,uc
1080_HIGH09_C_R16_1of1_Taes_1x1_p_uc,1080,Nikon,1x,1,HIGH09,C,R16,Top,1of1,Solo,Taes,p,uc
1081_TRI8005_A_R1_1of3_Tdur_1x1_d_uc,1081,Nikon,1x,1,TRI8005,A,R1,Base,1of3,External,Tdur,d,uc
1082_TRI8005_A_R1_1of3_Tdur_1x1_l_uc,1082,Nikon,1x,1,TRI8005,A,R1,Base,1of3,External,Tdur,l,uc
1083_TRI8005_A_R1_1of3_Tdur_1x1_p_uc,1083,Nikon,1x,1,TRI8005,A,R1,Base,1of3,External,Tdur,p,uc
1084_TRI8005_A_R1_2of3_Tdur_1x1_d_uc,1084,Nikon,1x,1,TRI8005,A,R1,Base,2of3,Internal,Tdur,d,uc
1085_TRI8005_A_R1_2of3_Tdur_1x1_l_uc,1085,Nikon,1x,1,TRI8005,A,R1,Base,2of3,Internal,Tdur,l,uc
1086_TRI8005_A_R1_2of3_Tdur_1x1_p_uc,1086,Nikon,1x,1,TRI8005,A,R1,Base,2of3,Internal,Tdur,p,uc
1087_TRI8005_A_R1_3of3_Tdur_1x1_d_uc,1087,Nikon,1x,1,TRI8005,A,R1,Base,3of3,External,Tdur,d,uc
1088_TRI8005_A_R1_3of3_Tdur_1x1_l_uc,1088,Nikon,1x,1,TRI8005,A,R1,Base,3of3,External,Tdur,l,uc
1089_TRI8005_A_R1_3of3_Tdur_1x1_p_uc,1089,Nikon,1x,1,TRI8005,A,R1,Base,3of3,External,Tdur,p,uc
1090_TRI8005_A_R9_1of2_Tdur_1x1_d_uc,1090,Nikon,1x,1,TRI8005,A,R9,Mid,1of2,External,Tdur,d,uc
1091_TRI8005_A_R9_1of2_Tdur_1x1_l_uc,1091,Nikon,1x,1,TRI8005,A,R9,Mid,1of2,External,Tdur,l,uc
1092_TRI8005_A_R9_1of2_Tdur_1x1_p_uc,1092,Nikon,1x,1,TRI8005,A,R9,Mid,1of2,External,Tdur,p,uc
1093_TRI8005_A_R9_2of2_Tdur_1x1_d_uc,1093,Nikon,1x,1,TRI8005,A,R9,Mid,2of2,External,Tdur,d,uc
1094_TRI8005_A_R9_2of2_Tdur_1x1_l_uc,1094,Nikon,1x,1,TRI8005,A,R9,Mid,2of2,External,Tdur,l,uc
1095_TRI8005_A_R9_2of2_Tdur_1x1_p_uc,1095,Nikon,1x,1,TRI8005,A,R9,Mid,2of2,External,Tdur,p,uc
1096_TRI8005_A_R10_2of3_Tdur_1x1_d_uc,1096,Nikon,1x,1,TRI8005,A,R10,Mid,2of3,Internal,Tdur,d,uc
1097_TRI8005_A_R10_2of3_Tdur_1x1_l_uc,1097,Nikon,1x,1,TRI8005,A,R10,Mid,2of3,Internal,Tdur,l,uc
1098_TRI8005_A_R10_2of3_Tdur_1x1_p_uc,1098,Nikon,1x,1,TRI8005,A,R10,Mid,2of3,Internal,Tdur,p,uc
1099_TRI8005_A_R17_2of2_Tdur_1x1_d_uc,1099,Nikon,1x,1,TRI8005,A,R17,Top,2of2,External,Tdur,d,uc
1100_TRI8005_A_R17_2of2_Tdur_1x1_l_uc,1100,Nikon,1x,1,TRI8005,A,R17,Top,2of2,External,Tdur,l,uc
1101_TRI8005_A_R17_2of2_Tdur_1x1_p_uc,1101,Nikon,1x,1,TRI8005,A,R17,Top,2of2,External,Tdur,p,uc
1102_TRI8005_A_R18_1of2_Tdur_1x1_d_uc,1102,Nikon,1x,1,TRI8005,A,R18,Top,1of2,External,Tdur,d,uc
1103_TRI8005_A_R18_1of2_Tdur_1x1_l_uc,1103,Nikon,1x,1,TRI8005,A,R18,Top,1of2,External,Tdur,l,uc
1104_TRI8005_A_R18_1of2_Tdur_1x1_p_uc,1104,Nikon,1x,1,TRI8005,A,R18,Top,1of2,External,Tdur,p,uc
1105_TRI8005_A_R18_2of2_Tdur_1x1_d_uc,1105,Nikon,1x,1,TRI8005,A,R18,Top,2of2,External,Tdur,d,uc
1106_TRI8005_A_R18_2of2_Tdur_1x1_l_uc,1106,Nikon,1x,1,TRI8005,A,R18,Top,2of2,External,Tdur,l,uc
1107_TRI8005_A_R18_2of2_Tdur_1x1_p_uc,1107,Nikon,1x,1,TRI8005,A,R18,Top,2of2,External,Tdur,p,uc
1108_TRI8005_B_R1_1of2_Tdur_1x1_d_uc,1108,Nikon,1x,1,TRI8005,B,R1,Base,1of2,External,Tdur,d,uc
1109_TRI8005_B_R1_1of2_Tdur_1x1_l_uc,1109,Nikon,1x,1,TRI8005,B,R1,Base,1of2,External,Tdur,l,uc
1110_TRI8005_B_R1_1of2_Tdur_1x1_p_uc,1110,Nikon,1x,1,TRI8005,B,R1,Base,1of2,External,Tdur,p,uc
1111_TRI8005_B_R1_2of2_Tdur_1x1_d_uc,1111,Nikon,1x,1,TRI8005,B,R1,Base,2of2,External,Tdur,d,uc
1112_TRI8005_B_R1_2of2_Tdur_1x1_l_uc,1112,Nikon,1x,1,TRI8005,B,R1,Base,2of2,External,Tdur,l,uc
1113_TRI8005_B_R1_2of2_Tdur_1x1_p_uc,1113,Nikon,1x,1,TRI8005,B,R1,Base,2of2,External,Tdur,p,uc
1114_TRI8005_B_R2_1of2_Tdur_1x1_d_uc,1114,Nikon,1x,1,TRI8005,B,R2,Base,1of2,External,Tdur,d,uc
1115_TRI8005_B_R2_1of2_Tdur_1x1_l_uc,1115,Nikon,1x,1,TRI8005,B,R2,Base,1of2,External,Tdur,l,uc
1116_TRI8005_B_R2_1of2_Tdur_1x1_p_uc,1116,Nikon,1x,1,TRI8005,B,R2,Base,1of2,External,Tdur,p,uc
